<CMDLINE C:\Users\lenna\PycharmProjects\DD2358-Neurals\.venv\Scripts\python.exe artificialneuralnetwork.py
MEM 3.519531 1739783595.4123
MEM 3.519531 1739783595.5125
MEM 3.519531 1739783595.6130
MEM 3.519531 1739783595.7135
MEM 3.519531 1739783595.8138
MEM 3.519531 1739783595.9141
MEM 3.519531 1739783596.0149
MEM 3.519531 1739783596.1152
MEM 3.519531 1739783596.2156
MEM 3.519531 1739783596.3160
MEM 3.519531 1739783596.4165
MEM 3.519531 1739783596.5171
MEM 3.519531 1739783596.6177
MEM 3.519531 1739783596.7182
MEM 3.519531 1739783596.8185
MEM 3.519531 1739783596.9190
MEM 3.519531 1739783597.0194
MEM 3.519531 1739783597.1197
MEM 3.519531 1739783597.2202
MEM 3.519531 1739783597.3209
MEM 3.519531 1739783597.4215
MEM 3.519531 1739783597.5219
MEM 3.519531 1739783597.6222
MEM 3.519531 1739783597.7228
MEM 3.519531 1739783597.8233
MEM 3.519531 1739783597.9236
MEM 3.519531 1739783598.0240
MEM 3.519531 1739783598.1246
MEM 3.519531 1739783598.2250
MEM 3.519531 1739783598.3255
MEM 3.519531 1739783598.4258
MEM 3.519531 1739783598.5261
MEM 3.519531 1739783598.6268
MEM 3.519531 1739783598.7270
MEM 3.519531 1739783598.8275
MEM 3.519531 1739783598.9283
MEM 3.519531 1739783599.0287
MEM 3.519531 1739783599.1291
MEM 3.519531 1739783599.2293
MEM 3.519531 1739783599.3300
MEM 3.519531 1739783599.4304
MEM 3.519531 1739783599.5311
MEM 3.519531 1739783599.6315
MEM 3.519531 1739783599.7317
MEM 3.519531 1739783599.8321
MEM 3.519531 1739783599.9330
MEM 3.519531 1739783600.0336
MEM 3.519531 1739783600.1343
MEM 3.519531 1739783600.2351
MEM 3.519531 1739783600.3356
MEM 3.519531 1739783600.4384
MEM 3.519531 1739783600.5399
MEM 3.519531 1739783600.6406
MEM 3.519531 1739783600.7410
MEM 3.519531 1739783600.8415
MEM 3.519531 1739783600.9420
MEM 3.519531 1739783601.0422
MEM 3.519531 1739783601.1427
MEM 3.519531 1739783601.2434
MEM 3.519531 1739783601.3443
MEM 3.519531 1739783601.4504
MEM 3.519531 1739783601.5518
MEM 3.519531 1739783601.6525
MEM 3.519531 1739783601.7527
MEM 3.519531 1739783601.8533
MEM 3.519531 1739783601.9537
MEM 3.519531 1739783602.0544
MEM 3.519531 1739783602.1550
MEM 3.519531 1739783602.2555
MEM 3.519531 1739783602.3558
MEM 3.519531 1739783602.4565
MEM 3.519531 1739783602.5569
MEM 3.519531 1739783602.6576
MEM 3.519531 1739783602.7582
MEM 3.519531 1739783602.8588
MEM 3.519531 1739783602.9594
MEM 3.519531 1739783603.0600
MEM 3.519531 1739783603.1607
MEM 3.519531 1739783603.2613
MEM 3.519531 1739783603.3619
MEM 3.519531 1739783603.4622
MEM 3.519531 1739783603.5628
MEM 3.519531 1739783603.6632
MEM 3.519531 1739783603.7639
MEM 3.519531 1739783603.8643
MEM 3.519531 1739783603.9649
MEM 3.519531 1739783604.0658
MEM 3.519531 1739783604.1663
MEM 3.519531 1739783604.2666
MEM 3.519531 1739783604.3673
MEM 3.519531 1739783604.4676
MEM 3.519531 1739783604.5692
MEM 3.519531 1739783604.6702
MEM 3.519531 1739783604.7705
MEM 3.519531 1739783604.8713
MEM 3.519531 1739783604.9716
MEM 3.519531 1739783605.0721
MEM 3.519531 1739783605.1729
MEM 3.519531 1739783605.2734
MEM 3.519531 1739783605.3742
MEM 3.519531 1739783605.4750
MEM 3.519531 1739783605.5757
MEM 3.519531 1739783605.6767
MEM 3.519531 1739783605.7773
MEM 3.519531 1739783605.8780
MEM 3.519531 1739783605.9785
MEM 3.519531 1739783606.0792
MEM 3.519531 1739783606.1797
MEM 3.519531 1739783606.2804
MEM 3.519531 1739783606.3808
MEM 3.519531 1739783606.4812
MEM 3.519531 1739783606.5822
MEM 3.519531 1739783606.6826
MEM 3.519531 1739783606.7835
MEM 3.519531 1739783606.8843
MEM 3.519531 1739783606.9852
MEM 3.519531 1739783607.0860
MEM 3.519531 1739783607.1867
MEM 3.519531 1739783607.2874
MEM 3.519531 1739783607.3878
MEM 3.519531 1739783607.4881
MEM 3.519531 1739783607.5886
